indication,phase_label,n_total,n_evaluable,n_success,completion_rate,ci_lower,ci_upper,suppressed
Medulloblastoma,PHASE2,2,2,2.0,1.0,0.95,1.05,False
Chronic Kidney Disease,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Non-Clear Cell Renal Cell Carcinoma,PHASE2,2,2,2.0,1.0,0.95,1.05,False
Myeloproliferative Neoplasm,PHASE3,2,2,2.0,1.0,0.95,1.05,False
Primary Amyloidosis,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Peritoneal and Retroperitoneal Neoplasm,PHASE2,2,2,0.0,0.0,-0.05,0.05,False
Germ Cell Tumor,PHASE2,3,3,3.0,1.0,0.95,1.05,False
Musculoskeletal Complications,UNKNOWN,1,1,0.0,0.0,-0.05,0.05,False
End-Stage Renal Disease,PHASE4,1,0,0.0,,,,True
Oxidative Stress,PHASE4,1,0,0.0,,,,True
Colon Carcinoma,PHASE1,12,11,10.0,0.9090909090909091,0.859090909090909,0.9590909090909091,False
Hodgkin Lymphoma,PHASE1,7,7,2.0,0.2857142857142857,0.2357142857142857,0.3357142857142857,False
Tumor Positron-Emission Tomography,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Endocrine Neoplasm,PHASE1,2,2,2.0,1.0,0.95,1.05,False
Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,PHASE1,5,5,1.0,0.2,0.15000000000000002,0.25,False
Contiguous Stage II Adult Diffuse Small Cleaved Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Grade 3 Follicular Lymphoma,PHASE1,6,6,0.0,0.0,-0.05,0.05,False
Extranodal Marginal Zone Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Gastrointestinal Stromal Tumor,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Drug/Agent Toxicity by Tissue/Organ,PHASE1,1,0,0.0,,,,True
Plasma Cell Neoplasm,PHASE3,1,1,1.0,1.0,0.95,1.05,False
FGFR Mutation,PHASE2,1,0,0.0,,,,True
Glioblastoma,PHASE2,12,8,7.0,0.875,0.825,0.925,False
Colorectal Cancer,PHASE1,14,10,9.0,0.9,0.85,0.9500000000000001,False
Endocrine Neoplasm,UNKNOWN,1,0,0.0,,,,True
Underwent Surgery Within 6 Weeks and Postoperative Assessment Indicated High-risk Factors,PHASE3,1,0,0.0,,,,True
Soft Tissue Sarcoma,PHASE2,3,2,1.0,0.5,0.45,0.55,False
Colon Carcinoma,PHASE3,4,0,0.0,,,,True
PTEN Hamartoma Tumor Syndrome,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Hepatocellular Carcinoma,PHASE2,11,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Malignant Ascites,PHASE3,1,0,0.0,,,,True
Myelodysplastic Syndrome,UNKNOWN,1,0,0.0,,,,True
Myelodysplastic Syndrome,PHASE3,5,4,4.0,1.0,0.95,1.05,False
WHO Grade 2 Glioma,PHASE1,1,0,0.0,,,,True
Chronic Lymphocytic Leukemia,PHASE1,11,5,5.0,1.0,0.95,1.05,False
Small Lymphocytic Lymphoma,PHASE1,12,10,4.0,0.4,0.35000000000000003,0.45,False
Urinary System Neoplasm,PHASE2,4,1,1.0,1.0,0.95,1.05,False
"Neoplasm, Experimental",PHASE1,1,0,0.0,,,,True
Acute Myeloid Leukemia,PHASE2,29,23,6.0,0.2608695652173913,0.2108695652173913,0.3108695652173913,False
Breast Cancer,PHASE1,42,37,25.0,0.6756756756756757,0.6256756756756756,0.7256756756756757,False
Central Nervous System Lymphoma,PHASE2,1,0,0.0,,,,True
Malignant Peripheral Nerve Sheath Tumor,PHASE2,1,0,0.0,,,,True
HER2-positive Gastric Cancer,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Non-Hodgkin Lymphoma,EARLY_PHASE1,1,0,0.0,,,,True
Gastrointestinal Stromal Tumor,UNKNOWN,1,0,0.0,,,,True
Neuroendocrine Tumors,PHASE2,3,1,1.0,1.0,0.95,1.05,False
Child,PHASE2,1,0,0.0,,,,True
Non-Hodgkin Lymphoma,PHASE3,4,2,2.0,1.0,0.95,1.05,False
Fibroblast Growth Factor Basic Form Measurement,PHASE1,1,0,0.0,,,,True
Small Cell Lung Cancer,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Chronic Myeloid Leukemia,PHASE3,1,1,1.0,1.0,0.95,1.05,False
HER-2 Negatived Gastric Cancer,PHASE2,1,0,0.0,,,,True
Parenteral Nutrition,PHASE3,1,0,0.0,,,,True
Fast-track,PHASE3,1,0,0.0,,,,True
Malignant Melanoma,PHASE2,3,3,1.0,0.3333333333333333,0.2833333333333333,0.3833333333333333,False
Urinary Tract Carcinoma,PHASE1,1,0,0.0,,,,True
Genitourinary System Neoplasm,PHASE1,1,0,0.0,,,,True
Osteopetrosis,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Recurrence,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Anaplastic Large Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Recurrent Adult Diffuse Small Cleaved Cell Lymphoma,PHASE2,2,2,1.0,0.5,0.45,0.55,False
Neoplasms,PHASE1,10,9,8.0,0.8888888888888888,0.8388888888888888,0.9388888888888889,False
Hodgkin Lymphoma,PHASE3,2,1,1.0,1.0,0.95,1.05,False
Oral Complications of Radiation Therapy,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Plasma Cell Neoplasm,PHASE1,3,3,3.0,1.0,0.95,1.05,False
Polycythemia Vera,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Neurofibromatosis,PHASE1,1,0,0.0,,,,True
Contiguous Stage II Adult Diffuse Large Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Stage III Adult Diffuse Small Cleaved Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Myeloproliferative Neoplasm,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Small Intestinal Adenocarcinoma,PHASE2,1,0,0.0,,,,True
Non-Small Cell Lung Cancer,PHASE1,40,28,17.0,0.6071428571428571,0.557142857142857,0.6571428571428571,False
Glioma,PHASE2,4,1,1.0,1.0,0.95,1.05,False
PTEN Hamartoma Syndrome,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Warm Autoimmune Hemolytic Anemia,PHASE3,1,0,0.0,,,,True
Mantle Cell Lymphoma,PHASE2,9,7,1.0,0.14285714285714285,0.09285714285714285,0.19285714285714284,False
Bladder Cancer,PHASE1,7,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Liver Cancer,PHASE1,7,5,4.0,0.8,0.75,0.8500000000000001,False
Head and Neck Neoplasm,PHASE2,25,13,8.0,0.6153846153846154,0.5653846153846154,0.6653846153846155,False
Pleural Malignant Mesothelioma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Kidney Wilms Tumor,PHASE1,3,2,2.0,1.0,0.95,1.05,False
Ewing Sarcoma,PHASE1,2,0,0.0,,,,True
"Anemia, Iron Deficiency",PHASE4,1,0,0.0,,,,True
Angiogenesis,PHASE2,1,0,0.0,,,,True
Antineoplastic Agents,PHASE2,1,0,0.0,,,,True
Thyroid Cancer,PHASE1,1,0,0.0,,,,True
Rhabdomyosarcoma,PHASE3,2,0,0.0,,,,True
Chronic Pancreatitis,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Neoadjuvant Treatment,PHASE2,1,0,0.0,,,,True
Acute Lymphoblastic Leukemia,EARLY_PHASE1,1,0,0.0,,,,True
Biliary Tract Cancer,UNKNOWN,1,0,0.0,,,,True
Carcinoma of Unknown Primary,UNKNOWN,1,0,0.0,,,,True
Carcinoma of Unknown Primary,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Cervical Cancer,PHASE2,9,9,7.0,0.7777777777777778,0.7277777777777777,0.8277777777777778,False
Prostate Cancer,PHASE3,8,7,4.0,0.5714285714285714,0.5214285714285714,0.6214285714285714,False
Brain Metastasis,PHASE1,4,3,3.0,1.0,0.95,1.05,False
Hormone Receptor-Positive Breast Cancer,PHASE1,2,2,2.0,1.0,0.95,1.05,False
"Locally Advanced, Squamous Cell Carcinoma of the Vulva",PHASE2,1,0,0.0,,,,True
Hepatectomy,UNKNOWN,1,0,0.0,,,,True
Prostate Cancer,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Hypopharyngeal Cancer,PHASE1,6,4,1.0,0.25,0.2,0.3,False
Acute Lymphoblastic Leukemia,PHASE3,6,1,1.0,1.0,0.95,1.05,False
Cardiovascular Neoplasm,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Digestive System Neoplasm,PHASE4,1,1,0.0,0.0,-0.05,0.05,False
Graft Versus Host Disease,PHASE1,2,2,1.0,0.5,0.45,0.55,False
Epithelial Neoplasm,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Acute Erythroid Leukemia,PHASE2,2,2,0.0,0.0,-0.05,0.05,False
Epstein-Barr Virus Infection,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Hairy Cell Leukemia,PHASE2,3,3,0.0,0.0,-0.05,0.05,False
Allogeneic Stem Cell Transplantation,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Thyroid Cancers That Contain the PAX8-PPARgamma Fusion Gene,PHASE2,1,1,1.0,1.0,0.95,1.05,False
HER-2,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Cancer,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Cancer,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Peripheral Neuropathy,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Alveolar Soft Part Sarcoma,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Chronic Kidney Disease,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Periventricular Leukomalacia,PHASE3,1,1,0.0,0.0,-0.05,0.05,False
Tumors,PHASE1,5,5,4.0,0.8,0.75,0.8500000000000001,False
Skin Neoplasm,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Neurofibroma,PHASE1,1,0,0.0,,,,True
Lung Diseases,PHASE1,1,0,0.0,,,,True
Transformed Indolent B-Cell Non-Hodgkin Lymphoma to Diffuse Large B-Cell Lymphoma,PHASE2,1,0,0.0,,,,True
Hemoglobinopathies,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Fanconi Anemia,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Noncontiguous Stage II Adult Diffuse Large Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Noncontiguous Stage II Adult Diffuse Small Cleaved Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Stage IV Adult Diffuse Mixed Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Testicular Cancer,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Multiple Myeloma,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Gestational Trophoblastic Neoplasia,PHASE1,1,1,1.0,1.0,0.95,1.05,False
