indication,phase_label,n_total,n_evaluable,n_success,completion_rate,ci_lower,ci_upper,suppressed
Head and Neck Neoplasm,EARLY_PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Acute Graft Versus Host Disease,PHASE3,2,0,0.0,,,,True
Biliary Tract Cancer,PHASE2,4,2,1.0,0.5,0.45,0.55,False
Rhabdomyosarcoma,PHASE2,2,1,1.0,1.0,0.95,1.05,False
Warm Autoimmune Hemolytic Anemia,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Head and Neck Neoplasm,UNKNOWN,2,1,0.0,0.0,-0.05,0.05,False
Cervical Cancer,PHASE3,2,1,1.0,1.0,0.95,1.05,False
Head and Neck Neoplasm,PHASE3,2,2,2.0,1.0,0.95,1.05,False
Transformed Indolent B-Cell Non-Hodgkin Lymphoma to Diffuse Large B-Cell Lymphoma,PHASE3,1,0,0.0,,,,True
ROS1 Gene Mutation,PHASE2,1,0,0.0,,,,True
Metastatic Melanoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Colorectal Cancer,PHASE4,1,1,1.0,1.0,0.95,1.05,False
T-Cell Large Granular Lymphocyte Leukemia,PHASE2,2,2,1.0,0.5,0.45,0.55,False
Ureter Urothelial Carcinoma,PHASE1,4,0,0.0,,,,True
Urethral Cancer,PHASE1,2,0,0.0,,,,True
Bronchopulmonary Dysplasia (BPD),PHASE2,1,1,1.0,1.0,0.95,1.05,False
Cancer-associated Thrombosis,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Genitourinary System Neoplasm,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Splenic Marginal Zone Lymphoma,PHASE2,2,2,1.0,0.5,0.45,0.55,False
Carcinoma of Unknown Primary,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Skin Basal Cell Carcinoma,PHASE2,2,2,2.0,1.0,0.95,1.05,False
Peripheral Neuropathy,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Cancer Patients First-ever Acute Ischemic Stroke,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Myeloid Neoplasm,PHASE1,3,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Mantle Cell Lymphoma,PHASE3,1,0,0.0,,,,True
Adrenal Gland Pheochromocytoma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Paraganglioma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Premature Birth,PHASE3,1,1,0.0,0.0,-0.05,0.05,False
Central Nervous System Embryonal Tumor,PHASE1,2,2,2.0,1.0,0.95,1.05,False
High-risk Leukemias,PHASE1,1,0,0.0,,,,True
Primary Immunodeficiency,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Primary Cutaneous B-Cell Non-Hodgkin Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Nodal Marginal Zone Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Small Intestinal Cancer,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Kaposi sarcoma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
